R_name,sample_number,Temp,pH,SpCond,Sal,TDG,Depth_Hydrolab,LDO.,LDO,IBatt,Start_Date,End_Date,Duration_h,Depth_meter,Gas_amount,Volume_ml,Plant,EGM_before,EGM_after,Oxygen_percent,rO2,pch,ol
m10,21,20.60838323,7.703552894,14.64670659,0.01,793.7904192,0.22245509,0,0,0,16.12.2021 10:40,16.12.2021 20:40,10,0.3,100,4,Echinodorus python,NA,NA,32.6,0.233009708737864,1,4
m14,25,18.850181,6.988959276,23.53393665,0.02,823.1538462,0.382217195,97.860181,9.102941176,24.58823529,11.01.2022 10:54,11.01.2022 15:40,4.75,0.3,100,4,Anubias bateri,NA,NA,37.8,0.233009708737864,19,1
m28,39,19.34560284,7.217943262,28.58156028,0.02,777.4113475,-0.05035461,83.12269504,7.656312057,65.31914894,03.02.2022 17:13,03.02.2022 20:20,3.1,0.3,60,4,Echinodorus python,37300,34000,28,0.233009708737864,1,4
m9,20,19.1664751,7.030842912,14.42145594,NA,802.9808429,0.494214559,97.39655172,9.003563218,31.54789272,15.12.2021 11:30,15.12.2021 16:30,6,0.7,100,6,Echinodorus python,NA,NA,41.2,0.261682242990654,19,1
m11,22,20.00850746,7.393134328,15.15920398,0.01,803.8656716,0.265771144,96.80199005,8.799054726,55.18905473,17.12.2021 10:45,17.12.2021 18:25,7.6,0.7,85,4,Echinodorus python,NA,NA,34.3,0.261682242990654,1,4
m15,26,19.22821192,6.859933775,26.16556291,0.02,830.1589404,0.937880795,100.1569536,9.246490066,NA,12.01.2022 12:55,12.01.2022 16:44,3.8,0.9,100,4,Anubias bateri,NA,NA,31.1,0.275229357798165,19,1
m20,31,19.54918552,7.358054299,23.42081448,0.02,799.3167421,0.770769231,100.5325792,9.222262443,62.83710407,20.01.2022 15:45,20.01.2022 19:40,3.95,1,100,6,Echinodorus python,NA,NA,39.3,0.281818181818182,19,1
m26,37,18.90596026,6.837682119,23.05298013,0.02,816.1655629,0.249006623,93.54304636,8.693046358,44.8807947,02.02.2022 14:48,02.02.2022 17:55,3.1,1,100,4,Echinodorus python,48700,42300,39.6,0.281818181818182,19,1
m8,19,18.52440945,7.243622047,13.90026247,0.01,831.7454068,1.078582677,100.6370079,9.423648294,28.39107612,13.12.2021 10:00,13.12.2021 15:40,5.6,1.1,90,4,Echinodorus python,NA,NA,29,0.288288288288288,19,1
m17,28,19.81326284,7.109123867,24.47129909,0.02,834.4441088,0.959425982,99.31480363,9.06163142,60.21752266,18.01.2022 14:28,18.01.2022 18:42,4.25,1.5,100,4,Anubias bateri,NA,NA,34.7,0.31304347826087,19,1
m3,14,19.13039604,6.995742574,9,0.01,811.9405941,1.041089109,100.3594059,9.284158416,4.148514851,07.12.2021 17:40,07.12.2021 20:10,2.5,1.6,50,4,Echinodorus python,NA,NA,34.9,0.318965517241379,1,4
m13,24,18.68478088,6.987011952,16.92828685,0.011474104,806.0677291,1.284741036,96.97808765,9.05247012,61.05976096,21.12.2021 10:32,21.12.2021 15:35,5.02,1.6,100,4,Echinodorus small bear,NA,NA,36.9,0.318965517241379,19,1
m29,40,19.17452736,7.059950249,29,0.02,882,1.279452736,94.09651741,8.696318408,64.05472637,04.02.2022 10:50,04.02.2022 14:40,3.8,1.75,100,4,Echinodorus python,44000,41800,44.4,0.327659574468085,19,1
m1,12,18.87067524,6.854533762,9.01607717,0.01,861.1672026,1.976398714,100.1411576,9.311639871,66.81350482,06.12.2021 15:10,06.12.2021 18:40,3.5,2,95,4,Echinodorus python,NA,NA,39.6,0.341666666666667,19,1
m21,32,18.93817427,6.97966805,22.97510373,0.02,904.1950207,1.683941909,95.23983402,8.844356846,40.17012448,21.01.2022 12:18,21.01.2022 16:35,4.3,2,100,4,Echinodorus python,NA,NA,41.9,0.341666666666667,19,1
m5,16,19.27023904,6.789083665,9,0.01,806.3426295,1.983386454,87.47370518,8.069721116,43.6812749,08.12.2021 14:53,08.12.2021 20:15,5.35,2.5,50,4,Echinodorus python,NA,NA,34.8,0.368,1,4
m12,23,18.11681275,7.012031873,15.47410359,0.01,847.250996,1.958286853,98.99521912,9.347968127,20.94820717,20.12.2021 11:38,20.12.2021 17:52,6.25,2.5,80,4,Echinodorus small bear,NA,NA,37.3,0.368,19,1
m18,29,19.03961832,6.825572519,26.29770992,0.02,887.6183206,1.815801527,95.78473282,8.877022901,41.18320611,19.01.2022 11:08,19.01.2022 13:15,2.1,2.5,90,4,Echinodorus python,NA,NA,42.9,0.368,19,1
m25,36,18.84950276,6.801491713,30.7679558,0.02,933.1878453,1.814861878,94.84475138,8.822596685,62.17679558,02.02.2022 11:30,02.02.2022 14:00,2.5,2.5,100,4,Echinodorus python,48000,48700,41,0.368,19,1
m2,13,18.55689342,6.960816327,9.464852608,0.01,800.2176871,2.489501134,97.80498866,9.153265306,39.18820862,07.12.2021 09:10,07.12.2021 16:35,7.45,3,100,4,Echinodorus small bear,NA,NA,41.7,0.392307692307692,1,4
m22,33,18.05670996,7.122813853,28.66666667,0.02,975.4329004,2.4695671,101.252381,9.572294372,22.59307359,24.01.2022 12:30,24.01.2022 16:23,3.9,3,100,4,Echinodorus python,NA,NA,36.2,0.392307692307692,19,1
m16,27,18.53360544,7.04877551,26.06802721,0.02,856.1814059,2.828231293,99.99002268,9.361496599,25.91156463,17.01.2022 09:25,17.01.2022 17:00,7.55,3.35,80,4,Anubias bateri,NA,NA,30.9,0.408239700374532,1,4
m7,18,19.03120582,6.858170478,12.27650728,0.01,799.8794179,2.851309771,87.02120582,8.066590437,60.18503119,10.12.2021 10:24,10.12.2021 19:10,8.75,3.5,100,4,Echinodorus python,NA,NA,42.8,0.414814814814815,1,4
NA,38,NA,NA,NA,NA,NA,3.5,NA,NA,NA,03.02.2022 10:40,03.02.2022 16:25,5.75,3.5,100,4,Echinodorus python,44000,37300,43,0.414814814814815,19,1
m4,15,18.63965636,6.749106529,9.759450172,0.01,805.7250859,3.416666667,88.6371134,8.281580756,64.65979381,08.12.2021 09:32,08.12.2021 14:30,5,4,100,4,Echinodorus python,NA,NA,44,0.435714285714286,19,1
m23,34,18.8263017,7.035328467,30.15571776,0.020024331,1047.83455,3.402335766,102.8970803,9.57729927,62.79075426,26.01.2022 12:50,26.01.2022 19:55,7.1,4,70,4,Echinodorus python,NA,NA,38.6,0.435714285714286,1,4
m24,35,18.77399202,6.897724551,28.13972056,0.02,1044.05988,3.364690619,91.03792415,8.482634731,29.78243513,28.01.2022 10:13,28.01.2022 19:30,9.25,4,100,4,Echinodorus python,NA,NA,38.2,0.435714285714286,1,4
m19,30,19.21080997,6.769875389,20.85981308,0.02,942.4018692,3.617788162,98.48286604,9.095109034,20.45482866,19.01.2022 13:45,19.01.2022 19:48,6.05,4.25,60,4,Echinodorus python,NA,NA,40.3,0.445614035087719,1,4
m6,17,18.79884244,6.759742765,10.68488746,0.01,807.9871383,3.883054662,86.9829582,8.10096463,22.2829582,09.12.2021 09:35,09.12.2021 20:05,10.5,4.5,60,4,Echinodorus python,NA,NA,41.4,0.455172413793103,1,4
